dataset,output_data,output_metrics,mindcf_fp_rate,mindcf_precision,mindcf_rank1_precision,mindcf_rank1_known_precision,mindcf_rank5_precision,mindcf_recall,mindcf_mcc,mindcf_fscore,mindcf_accuracy,mindcf_confusion,mindcf_threshold,mindcf_average
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_1.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_1_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_1_r500_s100metrics.json,0,1,1,1,1,0.4,0.632454724,0.571428571,0.999997446,"[[      2       3]
 [      0 1174410]]",52.24697004,3.99E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_3.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_3_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_3_r500_s100metrics.json,0,1,1,1,1,0.4,0.632454724,0.571428571,0.999997446,"[[      2       3]
 [      0 1174410]]",51.02088098,4.46E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_7.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_7_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_7_r500_s100metrics.json,0,1,1,1,1,0.6,0.77459601,0.75,0.999998297,"[[      3       2]
 [      0 1174410]]",50.53751508,3.67E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_14.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_14_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_14_r500_s100metrics.json,8.51E-07,0.75,0.75,0.75,0.75,0.6,0.670819156,0.666666667,0.999997446,"[[      3       2]
 [      1 1174409]]",51.6712083,4.01E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_18.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_18_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_18_r500_s100metrics.json,1.70E-06,0.333333333,0.333333333,0.333333333,0.333333333,0.2,0.258196471,0.25,0.999994891,"[[      1       4]
 [      2 1174408]]",51.79423578,4.21E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_13.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_13_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_13_r500_s100metrics.json,0,1,1,1,1,0.4,0.632454724,0.571428571,0.999997446,"[[      2       3]
 [      0 1174410]]",52.2954791,4.23E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_17.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_17_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_17_r500_s100metrics.json,0,1,1,1,1,0.4,0.632454724,0.571428571,0.999997446,"[[      2       3]
 [      0 1174410]]",51.85237954,4.47E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_16.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_16_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_16_r500_s100metrics.json,8.51E-07,0.5,0,0,1,0.2,0.316226016,0.285714286,0.999995743,"[[      1       4]
 [      1 1174409]]",50.79969863,3.88E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_10.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_10_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_10_r500_s100metrics.json,0,1,1,1,1,0.4,0.632454724,0.571428571,0.999997446,"[[      2       3]
 [      0 1174410]]",52.35944653,4.34E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_15.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_15_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_15_r500_s100metrics.json,0,1,1,1,1,0.2,0.447212834,0.333333333,0.999996594,"[[      1       4]
 [      0 1174410]]",51.69190429,4.16E-05
