files,TA,FA,TR,FR,prec
./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_44_r500_s100data.json,2,3,162992,3,0.4
./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_37_r500_s100data.json,1,4,162991,4,0.2
./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_42_r500_s100data.json,1,4,162991,4,0.2
./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_21_r500_s100data.json,2,3,162992,3,0.4
./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_31_r500_s100data.json,0,5,162990,5,0
./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_11_r500_s100data.json,3,2,162993,2,0.6
./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_r500_s100data.json,0,5,162990,5,0
./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_12_r500_s100data.json,4,1,162994,1,0.8
./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_3_r500_s100data.json,2,3,162992,3,0.4
./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_32_r500_s100data.json,3,2,162993,2,0.6
./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_41_r500_s100data.json,2,3,162992,3,0.4
./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_22_r500_s100data.json,2,3,162992,3,0.4
